tile1
warmup
23:13:50.481 754.12 754.12 1048576 100.00 4769.295 4769.295 0.000 10247.629 NaN 3599.5 0.8 0.3 
Read_Hit_8K
23:48:59.452 19842.37 155.02 8192 100.00 181.422 181.422 0.000 1302.234 66.837 3599.4 3.0 1.6 
Read_Miss_8K
00:24:04.442 17866.15 139.58 8192 100.00 201.491 201.491 0.000 1808.872 55.575 3599.7 2.6 1.4 
70_30_8K
00:59:09.752 16898.24 132.02 8192 69.82 213.023 213.703 211.451 903.330 66.979 3599.6 2.3 1.3 
70_30_80%_Hit_8K
01:59:16.338 17868.72 139.60 8192 69.93 201.445 201.789 200.647 951.042 70.004 3599.6 2.5 1.4 
Write_Hit_8K
02:59:22.444 24250.26 189.46 8192 0.00 148.417 0.000 148.417 1289.793 76.269 3599.1 3.9 2.1 
Write_Miss_8K
03:59:27.428 20077.51 156.86 8192 0.00 179.261 0.000 179.261 1691.541 129.965 3599.2 3.3 1.8 
tile2
warmup
23:13:18.505 1426.18 1426.18 1048576 100.00 2520.176 2520.176 0.000 5596.930 NaN 3599.4 0.6 0.2 
Read_Hit_8K
23:48:28.422 35320.40 275.94 8192 100.00 101.904 101.904 0.000 1122.997 33.819 3599.1 2.5 1.4 
Read_Miss_8K
00:23:33.466 32963.20 257.52 8192 100.00 109.195 109.195 0.000 1620.254 21.807 3599.4 2.3 1.3 
70_30_8K
00:58:38.771 31486.97 245.99 8192 69.78 114.310 114.810 113.155 718.041 29.906 3599.3 2.1 1.2 
70_30_80%_Hit_8K
01:58:44.901 32928.36 257.25 8192 70.02 109.304 109.604 108.604 620.002 33.131 3599.2 2.3 1.3 
Write_Hit_8K
02:58:50.500 46165.51 360.67 8192 0.00 77.943 0.000 77.943 845.526 44.860 3598.2 3.7 2.0 
Write_Miss_8K
03:58:55.549 38872.65 303.69 8192 0.00 92.572 0.000 92.572 1385.479 83.837 3598.6 3.1 1.7 
tile3
warmup
23:19:58.485 843.29 843.29 1048576 100.00 4267.355 4267.355 0.000 5613.461 NaN 3599.4 0.5 0.2 
Read_Hit_8K
23:55:06.445 33263.52 259.87 8192 100.00 108.201 108.201 0.000 1139.262 13.196 3599.2 2.3 1.3 
Read_Miss_8K
00:30:11.428 30328.54 236.94 8192 100.00 118.682 118.682 0.000 1533.812 15.639 3599.5 2.1 1.2 
70_30_8K
01:05:16.782 27870.83 217.74 8192 69.76 129.146 129.712 127.842 651.298 17.268 3599.4 1.9 1.1 
70_30_80%_Hit_8K
02:05:22.752 28371.69 221.65 8192 69.98 126.864 127.241 125.985 649.702 16.061 3599.3 1.9 1.1 
Write_Hit_8K
